audit_id,tower_id,city,state,tower_type,tower_height_ft,audit_date,audit_type,inspector,contracted_carriers,physical_carriers_found,contracted_antennas,physical_antennas_found,contracted_cabinets,physical_cabinets_found,discrepancy_type,severity,unauthorized_carrier,finding_notes,est_monthly_revenue_impact_usd,est_annual_revenue_impact_usd
AUD-577079-202503,CC-TWR-577079,Augusta,GA,Self-Supporting Lattice,310,2025-03-14,Structural Engineering Visit,L. Garcia — Terracon Consultants,1,1,15,15,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-660069-202502,CC-TWR-660069,Gresham,OR,Monopole,80,2025-02-05,Drone Inspection,J. Martinez — SBA Engineering,1,1,3,3,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-579798-202503,CC-TWR-579798,Scottsdale,AZ,Self-Supporting Lattice,120,2025-03-28,Field Audit,J. Martinez — SBA Engineering,1,1,4,4,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-501936-202502,CC-TWR-501936,Sterling Heights,MI,Stealth/Concealed,80,2025-02-02,Drone Inspection,D. Kim — WSP USA,1,1,9,9,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-874568-202503,CC-TWR-874568,Des Moines,IA,Monopole,310,2025-03-22,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,1,1,6,6,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-367729-202502,CC-TWR-367729,Pittsburgh,PA,Monopole,290,2025-02-25,Drone Inspection,K. Patel — Vertical Bridge Inspections,1,2,11,16,0,1,unauthorized_carrier,CRITICAL,Geoverse,"Unauthorized equipment detected: Geoverse — 5 antennas, 1 cabinet installed without lease amendment. No contract on file for this carrier.",7464.81,89577.69
AUD-688678-202501,CC-TWR-688678,St. Paul,MN,Self-Supporting Lattice,180,2025-01-01,Field Audit,S. Johnson — Summit Field Ops,2,2,14,14,2,2,upgraded_equipment,WARNING,,Equipment upgrade detected for US Cellular: antennas replaced with larger massive MIMO units — increased wind load and power draw. Original contract specifies CommScope NHH-65C-R2B. No modification application on file.,1738.7,20864.42
AUD-194458-202501,CC-TWR-194458,Hillsboro,OR,Monopole,320,2025-01-29,Drone Inspection,A. Williams — Black & Veatch,1,1,8,8,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-596171-202501,CC-TWR-596171,Toledo,OH,Self-Supporting Lattice,250,2025-01-12,Annual Compliance Check,K. Patel — Vertical Bridge Inspections,1,1,8,8,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-373791-202503,CC-TWR-373791,Rockford,IL,Monopole,130,2025-03-02,Annual Compliance Check,M. Thompson — Summit QA,1,1,9,9,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-323508-202501,CC-TWR-323508,Waldorf,MD,Stealth/Concealed,240,2025-01-12,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-230679-202501,CC-TWR-230679,San Diego,CA,Self-Supporting Lattice,310,2025-01-07,Annual Compliance Check,R. Chen — SAI Group,1,1,6,6,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-841521-202503,CC-TWR-841521,Grand Rapids,MI,Guyed Tower,120,2025-03-01,Field Audit,S. Johnson — Summit Field Ops,3,3,36,36,3,3,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-667776-202501,CC-TWR-667776,Duluth,MN,Monopole,90,2025-01-20,Drone Inspection,R. Chen — SAI Group,1,1,8,8,0,0,upgraded_equipment,WARNING,,Equipment upgrade detected for T-Mobile: antennas replaced with larger 5G Active Antenna units — increased wind load and power draw. Original contract specifies Nokia AAFIA. No modification application on file.,533.11,6397.28
AUD-109909-202501,CC-TWR-109909,Chattanooga,TN,Monopole,300,2025-01-20,Insurance Inspection,K. Patel — Vertical Bridge Inspections,2,2,14,14,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-488028-202503,CC-TWR-488028,Rockford,IL,Self-Supporting Lattice,170,2025-03-18,Field Audit,A. Williams — Black & Veatch,1,1,10,10,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-942946-202503,CC-TWR-942946,Carmel,IN,Self-Supporting Lattice,330,2025-03-09,Structural Engineering Visit,M. Thompson — Summit QA,2,2,15,15,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-174852-202501,CC-TWR-174852,Salem,OR,Monopole,250,2025-01-08,Drone Inspection,S. Johnson — Summit Field Ops,1,1,3,3,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-530859-202503,CC-TWR-530859,Spokane,WA,Monopole,80,2025-03-28,Insurance Inspection,D. Kim — WSP USA,0,0,0,0,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-375097-202503,CC-TWR-375097,Cincinnati,OH,Guyed Tower,290,2025-03-22,Structural Engineering Visit,R. Chen — SAI Group,2,2,15,15,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-437237-202501,CC-TWR-437237,Columbia,SC,Self-Supporting Lattice,320,2025-01-01,Field Audit,J. Martinez — SBA Engineering,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-622987-202501,CC-TWR-622987,Baton Rouge,LA,Guyed Tower,170,2025-01-14,Annual Compliance Check,K. Patel — Vertical Bridge Inspections,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-988319-202501,CC-TWR-988319,Tacoma,WA,Stealth/Concealed,310,2025-01-23,Insurance Inspection,L. Garcia — Terracon Consultants,3,3,20,20,3,3,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-825916-202502,CC-TWR-825916,Des Moines,IA,Rooftop,260,2025-02-09,Drone Inspection,L. Garcia — Terracon Consultants,2,2,18,18,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-880550-202503,CC-TWR-880550,Macon,GA,Guyed Tower,130,2025-03-23,Field Audit,R. Chen — SAI Group,2,2,18,18,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-324729-202501,CC-TWR-324729,Tampa,FL,Self-Supporting Lattice,150,2025-01-22,Insurance Inspection,L. Garcia — Terracon Consultants,0,0,0,0,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-238353-202501,CC-TWR-238353,Waterbury,CT,Monopole,240,2025-01-19,Structural Engineering Visit,D. Kim — WSP USA,2,2,21,21,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-583100-202501,CC-TWR-583100,Shreveport,LA,Monopole,260,2025-01-29,Drone Inspection,R. Chen — SAI Group,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-117538-202502,CC-TWR-117538,Houston,TX,Self-Supporting Lattice,240,2025-02-24,Structural Engineering Visit,J. Martinez — SBA Engineering,1,1,6,6,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-275715-202503,CC-TWR-275715,Germantown,MD,Stealth/Concealed,280,2025-03-01,Field Audit,D. Kim — WSP USA,1,1,5,5,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-749468-202503,CC-TWR-749468,Waterbury,CT,Stealth/Concealed,100,2025-03-20,Insurance Inspection,K. Patel — Vertical Bridge Inspections,1,1,9,9,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-794663-202502,CC-TWR-794663,Chicago,IL,Monopole,240,2025-02-10,Field Audit,S. Johnson — Summit Field Ops,2,2,12,12,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-784488-202502,CC-TWR-784488,Detroit,MI,Self-Supporting Lattice,270,2025-02-01,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,1,1,11,11,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-178957-202501,CC-TWR-178957,Huntsville,AL,Self-Supporting Lattice,120,2025-01-03,Drone Inspection,D. Kim — WSP USA,1,1,3,3,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-701581-202502,CC-TWR-701581,Fort Wayne,IN,Guyed Tower,160,2025-02-07,Annual Compliance Check,J. Martinez — SBA Engineering,2,2,12,12,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-921533-202502,CC-TWR-921533,Lexington,KY,Stealth/Concealed,300,2025-02-16,Annual Compliance Check,M. Thompson — Summit QA,2,2,15,15,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-841635-202502,CC-TWR-841635,Syracuse,NY,Stealth/Concealed,200,2025-02-06,Field Audit,M. Thompson — Summit QA,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-869649-202503,CC-TWR-869649,Bloomington,MN,Self-Supporting Lattice,300,2025-03-09,Structural Engineering Visit,A. Williams — Black & Veatch,1,1,9,6,0,0,missing_equipment,INFO,,3 antenna(s) contracted for US Cellular not physically present. Equipment may have been decommissioned without lease amendment — verify if overpaying for unused capacity.,-1347.86,-16174.3
AUD-735388-202502,CC-TWR-735388,Waldorf,MD,Monopole,300,2025-02-10,Insurance Inspection,K. Patel — Vertical Bridge Inspections,1,1,8,8,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-572387-202501,CC-TWR-572387,Akron,OH,Self-Supporting Lattice,300,2025-01-14,Structural Engineering Visit,L. Garcia — Terracon Consultants,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-378258-202502,CC-TWR-378258,Colorado Springs,CO,Monopole,90,2025-02-06,Field Audit,M. Thompson — Summit QA,2,2,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-620226-202502,CC-TWR-620226,Iowa City,IA,Monopole,80,2025-02-09,Structural Engineering Visit,S. Johnson — Summit Field Ops,2,2,20,21,0,0,extra_antennas,WARNING,,1 additional antenna(s) found at RAD center attributed to Verizon — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,420.32,5043.88
AUD-193035-202502,CC-TWR-193035,Savannah,GA,Monopole,340,2025-02-05,Annual Compliance Check,J. Martinez — SBA Engineering,2,2,14,14,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-846247-202503,CC-TWR-846247,Charleston,SC,Self-Supporting Lattice,330,2025-03-19,Drone Inspection,R. Chen — SAI Group,2,2,11,11,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-153266-202501,CC-TWR-153266,Lowell,MA,Monopole,100,2025-01-06,Insurance Inspection,A. Williams — Black & Veatch,1,1,7,7,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-358494-202502,CC-TWR-358494,Aurora,CO,Monopole,160,2025-02-12,Structural Engineering Visit,J. Martinez — SBA Engineering,1,1,4,4,1,2,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to US Cellular. Not in current lease scope. Ground space consumption ~110 sq ft unbilled.,634.48,7613.74
AUD-253347-202503,CC-TWR-253347,Tulsa,OK,Monopole,300,2025-03-13,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,2,2,14,14,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-892170-202503,CC-TWR-892170,Bellevue,WA,Self-Supporting Lattice,230,2025-03-15,Structural Engineering Visit,S. Johnson — Summit Field Ops,1,1,7,7,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-691912-202503,CC-TWR-691912,Edison,NJ,Self-Supporting Lattice,280,2025-03-25,Field Audit,J. Martinez — SBA Engineering,1,1,9,9,0,0,upgraded_equipment,WARNING,,Equipment upgrade detected for T-Mobile: antennas replaced with larger 8T8R units — increased wind load and power draw. Original contract specifies Nokia AAFIA. No modification application on file.,1142.53,13710.31
AUD-786508-202503,CC-TWR-786508,Norfolk,VA,Guyed Tower,180,2025-03-17,Structural Engineering Visit,D. Kim — WSP USA,1,1,12,12,1,2,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to Verizon. Not in current lease scope. Ground space consumption ~96 sq ft unbilled.,508.93,6107.16
AUD-169403-202502,CC-TWR-169403,Portland,OR,Self-Supporting Lattice,140,2025-02-10,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,0,0,0,0,0,1,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to Unknown. Not in current lease scope. Ground space consumption ~91 sq ft unbilled.,664.42,7973.01
AUD-626806-202501,CC-TWR-626806,Orlando,FL,Monopole,300,2025-01-13,Field Audit,R. Chen — SAI Group,1,1,10,10,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-396882-202503,CC-TWR-396882,Lowell,MA,Self-Supporting Lattice,180,2025-03-25,Annual Compliance Check,J. Martinez — SBA Engineering,1,1,4,4,0,0,upgraded_equipment,WARNING,,Equipment upgrade detected for T-Mobile: antennas replaced with larger 8T8R units — increased wind load and power draw. Original contract specifies Ericsson AIR 6449 B41. No modification application on file.,876.65,10519.75
AUD-475479-202502,CC-TWR-475479,Eugene,OR,Guyed Tower,100,2025-02-15,Structural Engineering Visit,J. Martinez — SBA Engineering,1,1,23,23,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-212255-202501,CC-TWR-212255,Salem,OR,Monopole,230,2025-01-21,Field Audit,M. Thompson — Summit QA,1,1,3,3,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-218414-202501,CC-TWR-218414,Denver,CO,Self-Supporting Lattice,150,2025-01-17,Structural Engineering Visit,J. Martinez — SBA Engineering,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-768676-202503,CC-TWR-768676,Tulsa,OK,Stealth/Concealed,130,2025-03-31,Field Audit,K. Patel — Vertical Bridge Inspections,1,2,4,6,0,1,unauthorized_carrier,CRITICAL,SureCall,"Unauthorized equipment detected: SureCall — 2 antennas, 1 cabinet installed without lease amendment. No contract on file for this carrier.",6877.89,82534.7
AUD-172274-202501,CC-TWR-172274,Covington,KY,Stealth/Concealed,220,2025-01-09,Insurance Inspection,L. Garcia — Terracon Consultants,1,1,8,8,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-754644-202501,CC-TWR-754644,Chandler,AZ,Monopole,280,2025-01-13,Annual Compliance Check,J. Martinez — SBA Engineering,1,1,6,3,0,0,missing_equipment,INFO,,3 antenna(s) contracted for AT&T not physically present. Equipment may have been decommissioned without lease amendment — verify if overpaying for unused capacity.,-1231.52,-14778.25
AUD-618934-202501,CC-TWR-618934,Joliet,IL,Self-Supporting Lattice,270,2025-01-26,Annual Compliance Check,K. Patel — Vertical Bridge Inspections,1,1,3,3,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-180657-202501,CC-TWR-180657,Warren,MI,Monopole,190,2025-01-07,Structural Engineering Visit,J. Martinez — SBA Engineering,1,1,4,4,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-767830-202501,CC-TWR-767830,Chicago,IL,Guyed Tower,220,2025-01-04,Drone Inspection,A. Williams — Black & Veatch,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-619920-202502,CC-TWR-619920,Madison,WI,Self-Supporting Lattice,130,2025-02-07,Drone Inspection,M. Thompson — Summit QA,1,1,6,6,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-495533-202503,CC-TWR-495533,Tacoma,WA,Self-Supporting Lattice,220,2025-03-07,Insurance Inspection,K. Patel — Vertical Bridge Inspections,1,1,4,4,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-833247-202503,CC-TWR-833247,Clarksville,TN,Monopole,170,2025-03-17,Structural Engineering Visit,D. Kim — WSP USA,1,1,9,9,0,1,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to T-Mobile. Not in current lease scope. Ground space consumption ~118 sq ft unbilled.,404.02,4848.21
AUD-399607-202502,CC-TWR-399607,Spokane,WA,Self-Supporting Lattice,150,2025-02-02,Insurance Inspection,R. Chen — SAI Group,1,1,4,4,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-404561-202503,CC-TWR-404561,Eugene,OR,Monopole,90,2025-03-28,Insurance Inspection,A. Williams — Black & Veatch,1,1,6,6,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-278240-202503,CC-TWR-278240,Lowell,MA,Monopole,130,2025-03-21,Field Audit,R. Chen — SAI Group,1,1,12,9,1,1,missing_equipment,INFO,,3 antenna(s) contracted for T-Mobile not physically present. Equipment may have been decommissioned without lease amendment — verify if overpaying for unused capacity.,-1519.56,-18234.66
AUD-480941-202503,CC-TWR-480941,Carmel,IN,Self-Supporting Lattice,300,2025-03-09,Drone Inspection,D. Kim — WSP USA,1,1,11,11,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-156802-202503,CC-TWR-156802,Fort Collins,CO,Stealth/Concealed,290,2025-03-22,Field Audit,S. Johnson — Summit Field Ops,0,0,0,0,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-935457-202502,CC-TWR-935457,Minneapolis,MN,Guyed Tower,310,2025-02-12,Drone Inspection,M. Thompson — Summit QA,2,2,18,19,1,1,extra_antennas,WARNING,,1 additional antenna(s) found at RAD center attributed to T-Mobile — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,699.07,8388.87
AUD-108874-202503,CC-TWR-108874,Spokane,WA,Monopole,150,2025-03-05,Field Audit,L. Garcia — Terracon Consultants,0,0,0,0,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-161437-202501,CC-TWR-161437,Atlanta,GA,Monopole,330,2025-01-02,Drone Inspection,A. Williams — Black & Veatch,1,1,3,3,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-136415-202503,CC-TWR-136415,Virginia Beach,VA,Monopole,240,2025-03-17,Annual Compliance Check,J. Martinez — SBA Engineering,1,1,3,3,0,1,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to AT&T. Not in current lease scope. Ground space consumption ~115 sq ft unbilled.,483.81,5805.77
AUD-728950-202503,CC-TWR-728950,Baltimore,MD,Stealth/Concealed,90,2025-03-18,Field Audit,S. Johnson — Summit Field Ops,1,1,10,10,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-422554-202501,CC-TWR-422554,Salem,OR,Monopole,270,2025-01-19,Drone Inspection,K. Patel — Vertical Bridge Inspections,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-491439-202503,CC-TWR-491439,Phoenix,AZ,Stealth/Concealed,300,2025-03-01,Annual Compliance Check,R. Chen — SAI Group,1,1,9,9,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-423232-202501,CC-TWR-423232,Independence,MO,Rooftop,190,2025-01-04,Drone Inspection,D. Kim — WSP USA,1,1,5,5,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
